"Position","thumbnail","departure","arrival","date","maxpax","price"
100,"https://api.catch-a-jet.com/storage/1769064/133688976521349107_26.jpg","Aix-les-bains","Antwerp","19 Mar","6 Seats","Book the entire jet for €7.400"
101,"https://api.catch-a-jet.com/storage/1761926/638101549556142260_26.jpg","Memmingen","Palma (mallorca is)","23 Jan","8 Seats","Book the entire jet for €7.500"
102,"https://api.catch-a-jet.com/storage/1768878/638645869483866728_26.jpg","Malta valletta","Geneva","26 Dec","8 Seats","Book the entire jet for €7.500"
103,"https://api.catch-a-jet.com/storage/1761933/638101548496762662_26.jpg","Palma (mallorca is)","Memmingen","30 Jan","8 Seats","Book the entire jet for €7.550"
104,"https://api.catch-a-jet.com/storage/1786884/636520428219878131_26.jpg","Frankfurt","Nice","2 Jan","8 Seats","Book the entire jet for €7.850"
105,"https://api.catch-a-jet.com/storage/1787214/638101548496762662_26.jpg","Vienna (wien)","Stockholm","26 Dec","8 Seats","Book the entire jet for €8.400"
106,"https://api.catch-a-jet.com/storage/1786234/637774956175803688_26.png","Marrakech","St. gallen","29 Dec","8 Seats","Book the entire jet for €8.450"
107,"https://api.catch-a-jet.com/storage/1786935/638101548496762662_26.jpg","Madrid","Memmingen","30 Dec","8 Seats","Book the entire jet for €8.700"
108,"https://api.catch-a-jet.com/storage/1784505/638101548496762662_26.jpg","Memmingen","Arnavutkoy","2 Jan","8 Seats","Book the entire jet for €9.600"
109,"https://api.catch-a-jet.com/storage/1764151/638332237083105682.jpg","Antwerp","Malaga","3 Jan","8 Seats","Book the entire jet for €9.900"
110,"https://api.catch-a-jet.com/storage/1784709/638289036898140848.jpg","Amsterdam","Tromso","26 Feb","7 Seats","Book the entire jet for €10.250"
111,"https://api.catch-a-jet.com/storage/1784713/638289036898140848.jpg","Alta","Amsterdam","21 Feb","7 Seats","Book the entire jet for €10.600"
112,"https://api.catch-a-jet.com/storage/1786893/637341229166834664_26.jpg","Geneva","Vienna (wien)","6 Jan","14 Seats","Book the entire jet for €11.200"
113,"https://api.catch-a-jet.com/storage/1786555/638657101248573029_26.jpg","Jersey (channel is.)","Amsterdam","27 Jan","14 Seats","Book the entire jet for €11.350"
114,"https://api.catch-a-jet.com/storage/1784387/638676108618360829.png","Zurich","Sevilla","29 Dec","8 Seats","Book the entire jet for €12.200"
115,"https://api.catch-a-jet.com/default-aircraft.jpg","Salzburg","Antwerp","27 Dec","14 Seats","Book the entire jet for €12.500"
116,"https://api.catch-a-jet.com/storage/1783089/635254669065719775_26.jpg","Biggin hill","Stockholm","27 Dec","10 Seats","Book the entire jet for €13.500"
117,"https://api.catch-a-jet.com/storage/1786906/637341229166834664_26.jpg","George town","San jose","11 Jan","14 Seats","Book the entire jet for €14.050"
118,"https://api.catch-a-jet.com/storage/1784408/638676108618360829.png","Cascais (lisbon)","Klagenfurt","7 Jan","8 Seats","Book the entire jet for €14.500"
119,"https://api.catch-a-jet.com/storage/1786881/637341231952666661_26.jpg","Klagenfurt","Malaga","1 Jan","14 Seats","Book the entire jet for €21.300"
120,"https://api.catch-a-jet.com/storage/1783098/635254669065719775_26.jpg","Dubai (jebel ali)","Shamshabad","3 Jan","10 Seats","Book the entire jet for €22.900"
121,"https://api.catch-a-jet.com/storage/1784416/636520428219878131_26.jpg","Gander","Vienna (wien)","19 Jan","8 Seats","Book the entire jet for €29.100"
122,"https://api.catch-a-jet.com/storage/1785720/637341231952666661_26.jpg","Miami","Guayaquil","3 Jan","14 Seats","Book the entire jet for €31.950"
123,"https://api.catch-a-jet.com/storage/1784383/637774956608520699_26.png","Cape town","Seychelles","2 Jan","13 Seats","Book the entire jet for €38.700"
124,"https://api.catch-a-jet.com/storage/1785749/637341231952666661_26.jpg","Klagenfurt","Dubai","27 Jan","14 Seats","Book the entire jet for €38.800"
125,"https://api.catch-a-jet.com/storage/1785748/637341231952666661_26.jpg","Dubai","Victoria falls","10 Feb","14 Seats","Book the entire jet for €56.200"
126,"https://api.catch-a-jet.com/storage/1784414/637774956608520699_26.png","Maafaru","Klagenfurt","10 Jan","13 Seats","Book the entire jet for €60.000"
127,"https://api.catch-a-jet.com/storage/1785739/637341231952666661_26.jpg","Cape town","Maafaru","23 Jan","14 Seats","Book the entire jet for €68.450"
128,"https://api.catch-a-jet.com/storage/1786565/638657101248573029_26.jpg","Amsterdam","Kingstown","22 Jan","14 Seats","Book the entire jet for €90.000"
129,"https://api.catch-a-jet.com/storage/1786537/638657101248573029_26.jpg","Kingstown","Amsterdam","7 Jan","14 Seats","Book the entire jet for €90.000"
